見出し語（品詞）,訳
preclude（他動詞）,…を不可能にする、…を妨げる、…を排除する
homestead（名詞）,家屋敷、家と敷地、（建物を含む）農場
livestock（名詞）,家畜（類）
fundraising（名詞）,資金調達、基金募集
procure（他動詞）,…を調達する、…を入手する
erection（名詞）,建設、直立、起立、勃起
monastery（名詞）,（通常男性の）修道院、僧院
prod（他動詞）,…をせかす、…を駆り立てる、…をつつく
prod（自動詞）,せかす、つつく
prod（名詞）,刺激、つつくこと
anthropologist（名詞）,（文化）人類学者
bibliography（名詞）,参考文献一覧表、図書目録、書誌学
radiate（他動詞）,…を発する、…を発散させる
radiate（自動詞）,発する、放射状に広がる、輝く
mystic（形容詞）,神秘的な、秘法の、秘儀の（限定用法が多い）
mystic（名詞）,神秘論主義者
glamour（名詞）,うっとりするような魅力、魅惑、魔法
recharge（他動詞）,…を充電する、…の元気を回復させる
trek（名詞）,（徒歩による）旅行、トレッキング
expulsion（名詞）,除名、追放、排除、排せつ
reclaim（他動詞）,…を取り戻す、…を開墾する、…を埋め立てる、…を再利用する
focal（形容詞）,焦点の、中心的な、重要な（限定用法）
incumbent（形容詞）,現職の、在職の、責務である
incumbent（名詞）,現職者、在任者
reelect（他動詞）,…を再選する
brewery（名詞）,（ビールなどの）醸造所［会社］
refurbish（他動詞）,…を改装する、…を磨き直す、…を再び明るくする
repeal（他動詞）,…を廃止する、…を取り消す、…を破棄する
surveillance（名詞）,監視、監督、見張り
tract（名詞）,（陸などの）広がり、地域、土地、器官系
resell（他動詞）,…を転売する、…を再販売する
reset（他動詞）,…をセットし直す、…を再起動する、…をゼロに戻す
reset（名詞）,再起動、リセット
blackout（名詞）,停電、停止、灯火管制、記憶喪失、意識不明
abortive（形容詞）,不成功の、水泡に帰した、早産の、流産の
restart（他動詞）,…を再出発させる、…を再始動させる
therapeutic（形容詞）,治療法の、治療できる、健康上の
retard（他動詞）,…を遅らせる、…を阻止する
asthma（名詞）,ぜんそく
punk（名詞）,パンク調、パンクロック（punk rock）、不良、ちんぴら
reunite（自動詞）,再結合する、再会する
reunite（他動詞）,…を再結合させる、…を再会させる
gig（名詞）,①（ミュージシャンの）仕事、出演、演奏 ②一頭立て二輪軽馬車
militia（名詞）,市民軍、国民軍、民兵
sabotage（他動詞）,…に破壊行為をする、…を妨害する、…をサボタージュする
sabotage（名詞）,サボタージュ、妨害行為
arsenal（名詞）,兵器庫、兵器工場、武器
devastating（形容詞）,破壊的な、壊滅的な、衝撃的な、痛烈な
scorch（他動詞）,…の表面を焼く、…を焦がす、（草木）を枯らす
scorch（自動詞）,焦げる
scorch（名詞）,焼け焦げ
hectare（名詞）,ヘクタール（面積の単位；1万平方メートル）
sear（他動詞）,…の表面を焼く、…を焦がす、…を（心に）深く焼きつける
sear（自動詞）,焼ける、焦げる
veal（名詞）,子牛の肉、食用子牛
ceramic（形容詞）,陶磁器の、セラミックの
ceramic（名詞）,（通常ceramicsで）陶磁器、セラミック
simulate（他動詞）,…をシミュレートする、…をまねる、…のふりをする
configuration（名詞）,（部品・要素などの）配列、配置、形状、星位、星座
ion（名詞）,イオン
stipulate（他動詞）,（条件として）…を明記する、…を規定する、…を要求する
appropriation（名詞）,充当、流用、（政府や団体の）支出金、専有、横領
affiliation（名詞）,提携、合併、加入、加盟
polytechnic（名詞）,技術専門学校、工芸学校、理工科学校
polytechnic（形容詞）,工芸教育の、理工科の
subsidize（他動詞）,…に助成金を支給する、…を援助する
surmount（他動詞）,…を乗り越える、…を克服する、…の上にある
recourse（名詞）,頼ること、頼みとする人［物］
pageant（名詞）,野外劇、美人コンテスト（beauty pageant）、（仮装）行列
televise（他動詞）,…をテレビ放送する
partisan（名詞）,（党派などの）熱心な支持者、同志、パルチザン
partisan（形容詞）,党派心の強い
topple（他動詞）,…を（ぐらつかせて）倒す、…を転覆する
topple（自動詞）,ぐらつく、倒れる
transact（他動詞）,…を行う、…を処理する
transact（自動詞）,（業務・取引などを）行う、処理する
impediment（名詞）,障害、妨害（物）、身体的障害
surveyor（名詞）,測量士、監視官、検査官
inadvertently（副詞）,不注意に、軽率に、うっかり
trespass（自動詞）,不法侵入する、無断で立ち入る
artillery（名詞）,砲兵隊（the artilleryで）、大砲
underwrite（他動詞）,…の財政的保証をする、…の保険を引き受ける、（株式など）を引き受ける
consortium（名詞）,合弁企業［事業］、共同企業体、協会
barbarian（名詞）,野蛮人、未開人、無教養な人
barbarian（形容詞）,未開の（限定用法が多い）
repetitive（形容詞）,繰り返しの、反復される
uproot（他動詞）,…を根こそぎにする、…を引っこ抜く、…を立ち退かせる
ventilate（他動詞）,…を換気する、…に空気を通す、…に酸素を供給する
innermost（形容詞）,一番奥の、最も内部の、内に秘めた、心の奥の（限定用法）
incense（名詞）,香、芳香
veto（他動詞）,…に拒否権を行使する、…を拒否する、…を否認する
veto（名詞）,拒否権、禁止
referendum（名詞）,国民投票、住民投票
wager（他動詞）,…を賭ける、…を保証する
wager（名詞）,賭け金、賭け
poker（名詞）,（トランプの）ポーカー
woo（他動詞）,…を得ようとする、（人）に支持をせがむ、（女性）に求愛する
electorate（名詞）,選挙民、有権者、選挙区
buildup（名詞）,増強、強化、（新製品などの）宣伝、（緊張などの）高まり
symmetry（名詞）,（左右の）対称、調和、均整
porcelain（名詞）,磁器、磁器製品
astound（他動詞）,（人）をびっくり仰天させる
archaeologist（名詞）,考古学者
bristle（自動詞）,怒る、いら立つ、（動物が）毛を逆立てる
groundless（形容詞）,根拠のない、事実無根の
contender（名詞）,競争者、ライバル
egocentric（形容詞）,自己中心的な、利己的な
egocentric（名詞）,自分中心的な人
construe（他動詞）,…を解釈する、…を説明する、…を翻訳する
outright（形容詞）,完全な、明白な、無条件の（限定用法）
outright（副詞）,公然と、徹底的に
defiance（名詞）,無視、挑戦［反抗］的な態度、挑戦
mandate（名詞）,指令、命令、委任統治、為政権
mania（名詞）,異常な熱意、熱狂、躁病
caricature（名詞）,（特徴などを誇張した）風刺（漫）画
covet（他動詞）,（他人の物）を欲しがる、…を切望する
deduce（他動詞）,…を推定する、（推論から）（結論）に達する
bacterial（形容詞）,細菌の、バクテリアの
attributable（形容詞）,起因する、（…に）帰すことができる（叙述用法）
digestive（形容詞）,消化の、消化力のある（限定用法が多い）
enzyme（名詞）,酵素
delude（他動詞）,（人）の心［判断］を惑わす、…を欺く
deficient（形容詞）,欠けている、不足した、不完全な
performing（形容詞）,舞台の、演技の、芸をするように仕込まれた
deplore（他動詞）,…を遺憾に思う、…を嘆く、…を非難する
accountability（名詞）,説明責任、アカウンタビリティー
deceitful（形容詞）,不正直な、人をだます、人を誤らせるような
