symposium（名詞）,シンポジウム、討論会
magnify（他動詞）,…を拡大する、…を大きく見せる、（事態など）を深刻化させる
navigate（自動詞）,航海［航行、飛行］する、操縦する、（ウェブサイトを）検索する、ネットサーフィンする
navigate（他動詞）,…を航海［航行、飛行］する、…を操縦する、（目的のウェブサイト）へ行く
equator（名詞）,（the equator または the Equator で）赤道、赤道地域
tan（名詞）,日焼け、日焼けした肌の色、小麦色、黄褐色
tan（他動詞）,（肌）を日に焼く
tan（形容詞）,日焼けした、黄褐色の
nominate（他動詞）,…を指名する、…を推薦する、…を任命する
sophomore（名詞）,（四年制大学の）2年生
deficiency（名詞）,不足、欠乏
nourish（他動詞）,…に栄養を与える、…を養う、…を育てる、（信念・思想など）を心に抱く、…を助長する
regime（名詞）,政権、政体、制度
oppress（他動詞）,…を抑圧する、…を虐げる、…を圧迫する、…に重くのしかかる
collision（名詞）,衝突、（意見などの）不一致、食い違い
overturn（他動詞）,…を転覆させる、…をひっくり返す、（決定など）を覆す、（体制・政府など）を打倒する
overturn（自動詞）,転覆する、横転する、ひっくり返る
freight（名詞）,（輸送）貨物、貨物輸送
freight（他動詞）,…を積む
delegate（名詞）,代表者、代議員
delegate（他動詞）,…を委任する、…を代表として派遣する
partake（自動詞）,参加する、（出された食べ物を）食べる、（性質などを）幾分帯びる
ceremonial（形容詞）,儀礼上の、儀式の
ceremonial（名詞）,式典、儀礼
bandage（名詞）,包帯
bandage（他動詞）,…に包帯をする
prescribe（他動詞）,（薬）を処方する、（治療）を施す、（法律などが）…を定める、…を命じる
prescribe（自動詞）,処方する、処方を書く、規定する
clergy（名詞）,聖職者、僧侶
preside（自動詞）,主宰する、取り仕切る、中心的な位置を占める
timber（名詞）,材木、木材、森林
prop（他動詞）,…を支える、…を支持する、…をもたせかける
prop（名詞）,支え、支持者
barrack（名詞）,（通常 barracks で）兵舎、バラック
prune（他動詞）,（木）を刈り込む、（木の枝）を刈り取る、…を切り取る、（余分なもの）を削る
prune（名詞）,干しスモモ
twig（名詞）,小枝
rationalize（他動詞）,（言動）を正当化する、…を合理的に説明する、（組織など）を合理化する
rationalize（自動詞）,（自分の行動を）正当化する
melancholy（名詞）,憂うつ、深い物思い
melancholy（形容詞）,憂うつな
unsure（形容詞）,確信がない、自信がない、不確かな
intentional（形容詞）,故意の、意図的な、意識的な
refrain（自動詞）,差し控える、やめる、こらえる、我慢する
refrain（名詞）,反復句
reinforce（他動詞）,（理論・意見など）を強化する、…をより強固にする、（建物など）を補強する、（軍隊など）を増強する
feedback（名詞）,フィードバック、反応
loop（名詞）,（プログラム処理での）ループ、輪、環状のもの
loop（他動詞）,…に輪を付ける
reorganize（他動詞）,…を再編成する、…を再建する、…を立て直す
reorganize（自動詞）,再編成される
subsidiary（名詞）,子会社
subsidiary（形容詞）,従属する、補助の、助成金の
thereafter（副詞）,それ以来
reprint（他動詞）,（本など）を増刷する
reprint（自動詞）,増刷される
reprint（名詞）,増刷、リプリント（版）
safeguard（他動詞）,…を守る、…を保護する
safeguard（名詞）,予防手段［措置］、（契約書などの）保護規定
aggression（名詞）,侵略、攻撃
skim（他動詞）,…をざっと読む［目を通す］、（液体のあく・上澄みなど）をすくい取る、（水面など）をすれすれに飛ぶ、（クレジットカードの情報）を不正にコピーする
skim（自動詞）,（水面などを）かすめて飛ぶ、ざっと読む
editorial（名詞）,社説、論説
editorial（形容詞）,編集の（限定用法が多い）
diplomacy（名詞）,外交、外交的手腕
slay（他動詞）,…を殺す、…を殺害する、…を虐殺する、（米）…をひどく面白がらせる
ranch（名詞）,農場、大牧場
saloon（名詞）,（19世紀米国西部に見られた）酒場、大広間、社交室
rebellious（形容詞）,反乱の、反体制の、反抗的な、手に負えない
subdue（他動詞）,（敵など）を圧倒する、（国・地域）を征服する、（暴動など）を鎮圧する、…を抑制する、（音量・色合いなど）を和らげる
tyrant（名詞）,暴君、専制君主、独裁者
captive（形容詞）,捕虜になった
captive（名詞）,捕虜、囚人
algebra（名詞）,代数学
subtract（他動詞）,（数）を減じる、…を引く、（一定の量・額）を差し引く、…を控除する
subtract（自動詞）,引き算する、減じる
summarize（他動詞）,…を要約する、…をかいつまんで言う
verbal（形容詞）,言語使用の、言葉の、口頭の、（文法で）動詞の（限定用法が多い）
verbal（名詞）,（文法で）準動詞
supervise（他動詞）,…を監督する、…に目を光らせる
supervise（自動詞）,監督する
apprentice（名詞）,見習い、初心者
apprentice（他動詞）,…を弟子入りさせる、…を見習いに出す
sweeten（他動詞）,（味付けなど）を甘くする、（気分など）を和らげる
sweeten（自動詞）,甘くなる
chestnut（名詞）,クリ、クリの木
scoop（名詞）,ひとすくいの量、ひしゃく、特ダネ、スクープ
scoop（他動詞）,…をすくう、…をえぐる、（報道他社）を（特ダネで）出し抜く
tile（名詞）,タイル
tile（他動詞）,…にタイルを張る
toil（自動詞）,精を出して働く、苦労して移動する
toil（名詞）,苦労、骨折り
tolerance（名詞）,我慢、寛容、容認、（薬などに対する）耐性
trample（自動詞）,踏みにじる、踏みつける、ドシンドシンと歩く
trample（他動詞）,…を踏みにじる、…を踏みつける
storekeeper（名詞）,店主、倉庫管理人
imprisonment（名詞）,投獄、禁固、拘束
uphold（他動詞）,（決定・行為・考え方など）を支持する、…を是認する、（物）を支える
prophet（名詞）,予言者、（旧約聖書などの）預言者、（the Prophet で）イスラム教の教祖
withstand（他動詞）,…によく耐える、…に持ちこたえる、…に抵抗する
insulting（形容詞）,侮辱的な、無礼な
scornful（形容詞）,軽蔑に満ちた、さげすむ、冷笑的な
tempest（名詞）,大嵐、大騒動
wreck（他動詞）,…を難破させる、（建物など）を破壊する、（計画など）を台無しにする、…を駄目にする
wreck（名詞）,破壊、難破、難破船、壊れた残骸
tanker（名詞）,タンカー、空中給油機
zealous（形容詞）,熱心な、熱狂的な
reptile（名詞）,爬虫類（の動物）、卑劣な人
enthusiast（名詞）,ファン、熱心な人、…狂
adore（他動詞）,…が大好きである（特に女性が好んで使う）、…を熱愛する、…を崇拝する
lizard（名詞）,トカゲ
behold（他動詞）,（しばしば命令形で）…を見る、…を注視する、…を見守る
frightful（形容詞）,恐ろしい、ものすごい
